PLAYER_NAME,TEAM_ABBREVIATION,AGE,RA_FGM,RA_FGA,PAINT_FGM,PAINT_FGA,MID_FGM,MID_FGA,LC3_FGM,LC3_FGA,RC3_FGM,RC3_FGA,ATB3_FGM,ATB3_FGA,FGM,FGA
Kevin Knox II,POR,24,35,49,13,28,7,15,5,11,7,25,19,58,86,186
Kevin Love,MIA,35,41,59,26,42,7,14,5,18,4,17,75,208,158,358
Kevon Looney,GSW,28,106,151,27,65,6,16,0,0,0,0,0,0,139,232
Keyonte George,UTA,20,55,92,83,186,34,97,14,34,7,24,126,379,319,812
Khris Middleton,MIL,32,52,78,58,125,113,193,17,33,5,17,72,197,317,643
Killian Hayes,DET,22,18,25,42,98,35,86,6,10,2,11,14,53,117,283
Kira Lewis Jr.,UTA,23,18,30,10,20,2,9,0,3,0,5,4,25,34,92
Klay Thompson,GSW,34,70,93,49,119,103,230,14,46,23,46,231,597,490,1131
Kobe Brown,LAC,24,19,28,3,12,1,2,2,3,2,12,10,33,37,90
Kobe Bufkin,ATL,20,6,12,8,16,11,24,0,5,1,5,8,30,34,92
Kris Dunn,UTA,30,49,76,55,119,2,7,10,19,6,21,25,70,147,312
Kris Murray,POR,23,75,122,21,57,0,4,11,41,17,50,21,91,145,365
Kristaps Porziņģis,BOS,28,157,213,89,174,32,72,1,2,0,6,109,283,388,750
Kyle Anderson,MIN,30,63,106,106,246,19,33,5,16,5,19,1,12,199,432
Kyle Kuzma,WAS,28,256,335,140,351,61,177,24,66,20,43,107,340,608,1312
Kyle Lowry,PHI,38,30,51,24,52,11,24,20,44,8,21,70,183,163,375
Kyrie Irving,DAL,32,131,209,145,274,113,227,19,39,17,34,137,347,562,1130
LaMelo Ball,CHA,22,65,116,44,92,4,18,9,22,7,10,54,165,183,423
Lamar Stevens,MEM,26,52,88,31,75,11,31,4,16,2,10,8,19,108,239
Landry Shamet,WAS,27,33,52,14,33,18,32,5,17,15,30,33,110,118,274
Larry Nance Jr.,NOP,31,84,117,22,49,5,10,8,14,8,24,11,24,138,238
Lauri Markkanen,UTA,27,143,206,84,186,25,59,21,45,15,38,139,355,427,889
LeBron James,LAL,39,401,547,81,194,54,165,7,21,13,23,129,318,685,1268
Leaky Black,CHA,25,12,21,2,7,2,4,3,6,2,4,4,10,25,52
Lester Quinones,GSW,23,14,23,6,20,4,10,4,9,4,8,23,69,55,139
Lindy Waters III,OKC,26,6,8,2,3,4,8,6,13,7,12,24,60,49,104
Lonnie Walker IV,BKN,25,61,102,19,50,24,69,16,35,12,28,76,207,208,491
Luguentz Dort,OKC,25,92,160,24,56,16,45,23,60,23,55,110,281,288,657
Luka Dončić,DAL,25,202,266,185,338,133,304,4,15,3,11,277,713,804,1647
Luka Garza,MIN,25,13,20,13,21,1,2,1,2,0,0,8,30,36,75
Luka Samanic,UTA,24,33,50,13,43,1,1,5,17,2,9,6,38,60,158
Luke Kennard,MEM,28,14,23,8,26,12,28,5,16,6,12,96,210,141,315
Luke Kornet,BOS,28,136,180,3,19,2,3,0,0,0,0,1,1,142,203
